epoch,train_loss,val_loss,train_mae,val_mae,lr,improved
1,0.09768428653478622,0.14032217860221863,0.391450434923172,0.3764839768409729,0.0010000000474974513,True
2,0.06091107428073883,0.10016915202140808,0.2868676781654358,0.3720605671405792,0.0010000000474974513,True
3,0.03132918104529381,0.07983081042766571,0.18936164677143097,0.392120361328125,0.0010000000474974513,True
4,0.0275865625590086,0.08129369467496872,0.18716387450695038,0.39668479561805725,0.0010000000474974513,False
5,0.021625788882374763,0.08050546795129776,0.16132140159606934,0.3844248652458191,0.0010000000474974513,False
6,0.02541906014084816,0.08166328817605972,0.16861648857593536,0.37928178906440735,0.0010000000474974513,False
7,0.024383964017033577,0.0784970372915268,0.15422280132770538,0.38258591294288635,0.0010000000474974513,True
8,0.023688923567533493,0.08002135902643204,0.17294016480445862,0.3868449926376343,0.0010000000474974513,False
9,0.02375221438705921,0.07932718098163605,0.16668884456157684,0.38768434524536133,0.0010000000474974513,False
10,0.023603076115250587,0.07924745976924896,0.16872593760490417,0.3876790702342987,0.0010000000474974513,False
11,0.022765520960092545,0.08136719465255737,0.1573321521282196,0.3860391676425934,0.0010000000474974513,False
12,0.024465322494506836,0.08008282631635666,0.15161395072937012,0.38836321234703064,0.0010000000474974513,False
13,0.022394604980945587,0.07937809079885483,0.16344524919986725,0.3891095221042633,0.0010000000474974513,False
14,0.02169935591518879,0.08235404640436172,0.14909502863883972,0.3910624086856842,0.0010000000474974513,False
15,0.023918399587273598,0.0830632895231247,0.1507750153541565,0.39513352513313293,0.0010000000474974513,False
16,0.023110486567020416,0.08449818938970566,0.16378933191299438,0.39880090951919556,0.0010000000474974513,False
17,0.022882644087076187,0.08438614010810852,0.1676274538040161,0.3963083326816559,0.0010000000474974513,False
18,0.02316460944712162,0.08251920342445374,0.17042848467826843,0.394817978143692,0.0005000000237487257,False
19,0.02148130163550377,0.08178199827671051,0.15630418062210083,0.3934880197048187,0.0005000000237487257,False
20,0.023211725056171417,0.0811130702495575,0.167217418551445,0.39296942949295044,0.0005000000237487257,False
21,0.022738875821232796,0.08027181774377823,0.15611059963703156,0.39117932319641113,0.0005000000237487257,False
22,0.02343287132680416,0.08077146112918854,0.16620132327079773,0.39172208309173584,0.0005000000237487257,False
23,0.022947408258914948,0.08010303229093552,0.16808603703975677,0.3905976414680481,0.0005000000237487257,False
24,0.021626630797982216,0.08010509610176086,0.162840336561203,0.3901175558567047,0.0005000000237487257,False
25,0.022602228447794914,0.08054496347904205,0.15897352993488312,0.38907405734062195,0.0005000000237487257,False
26,0.02341526187956333,0.0812654122710228,0.16178831458091736,0.38890308141708374,0.0005000000237487257,False
27,0.02209620550274849,0.08146991580724716,0.16934825479984283,0.38929006457328796,0.0005000000237487257,False
